Park,Name,ShortName,Unit Code,Park Type,Region,StateAbbr,State,Recreation Visits,Tent Campers,RV Campers,Backcountry Campers,Latitude,Longitude,Summer,Autumn,Winter,Spring
Isle Royale NP,Isle Royale National Park,Isle Royale,ISRO,National Park,Midwest,MI,Michigan,31,0,0,0,48.1,-88.55,16756,2611,98,925
Joshua Tree NP,Joshua Tree National Park,Joshua Tree,JOTR,National Park,Pacific West,CA,California,109800,15164,4890,948,33.79,-115.9,359688,562345,655346,737510
Kings Canyon NP,Kings Canyon National Park,Kings Canyon,KICA,National Park,Pacific West,CA,California,20730,238,64,1,36.8,-118.55,290307,128260,50032,105250
Lassen Volcanic NP,Lassen Volcanic National Park,Lassen Volcanic,LAVO,National Park,Pacific West,CA,California,6702,39,27,77,40.49,-121.51,276383,120004,25559,47839
Mammoth Cave NP,Mammoth Cave National Park,Mammoth Cave,MACA,National Park,Southeast,KY,Kentucky,7845,20,0,82,37.18,-86.1,238765,106243,33332,137405
Mesa Verde NP,Mesa Verde National Park,Mesa Verde,MEVE,National Park,Intermountain,CO,Colorado,6288,0,0,0,37.18,-108.49,282052,117306,20284,95446
Mount Rainier NP,Mount Rainier National Park,Mount Rainier,MORA,National Park,Pacific West,WA,Washington,14361,0,0,574,46.85,-121.75,809121,328355,65109,129708
New River Gorge NP & PRES,Great Sand Dunes National Park,Great Sand Dunes,NERI,National Park,Northeast,WV,West Virginia,17971,38,25,0,37.9,-81.04,762238,383339,104169,351678
North Cascades NP,North Cascades National Park,North Cascades,NOCA,National Park,Pacific West,WA,Washington,2,0,0,4,48.7,-121.2,19222,6487,136,1065
Olympic NP,Olympic National Park,Olympic,OLYM,National Park,Pacific West,WA,Washington,65178,230,388,230,47.97,-123.5,1673475,642808,247878,513686
Petrified Forest NP,Petrified Forest National Park,Petrified Forest,PEFO,National Park,Intermountain,AZ,Arizona,21543,0,0,9,35.07,-109.78,259420,145024,74082,168862
Pinnacles NP,Pinnacles National Park,Pinnacles,PINN,National Park,Pacific West,CA,California,13206,0,0,0,36.48,-121.16,54140,45056,50853,72770
Redwood NP,Redwood National Park,Redwood,REDW,National Park,Pacific West,CA,California,13949,0,0,44,41.3,-124,182391,103129,57791,93870
Rocky Mountain NP,Rocky Mountain National Park,Rocky Mountain,ROMO,National Park,Intermountain,CO,Colorado,68537,72,114,91,40.4,-105.58,2162659,1020442,298408,495173
Saguaro NP,Saguaro National Park,Saguaro,SAGU,National Park,Intermountain,AZ,Arizona,61544,0,0,132,32.25,-110.5,116276,154358,294986,268819
Sequoia NP,Sequoia National Park,Sequoia,SEQU,National Park,Pacific West,CA,California,30112,487,0,174,36.43,-118.68,521888,240298,111062,229720
Shenandoah NP,Shenandoah National Park,Shenandoah,SHEN,National Park,Northeast,VA,Virginia,18017,0,0,97,38.53,-78.35,519390,512945,67295,277278
Theodore Roosevelt NP,Theodore Roosevelt National Park,Theodore Roosevelt,THRO,National Park,Midwest,ND,North Dakota,1231,24,49,0,46.97,-103.45,396066,167936,10283,83274
Voyageurs NP,Voyageurs National Park,Voyageurs,VOYA,National Park,Midwest,MN,Minnesota,4331,0,0,0,48.5,-92.88,156210,37073,12587,32493
White Sands NP,White Sands National Park,White Sands,WHSA,National Park,Intermountain,NM,New Mexico,23304,0,0,99,32.77,-106.17,158368,122286,97179,173867
Wind Cave NP,Wind Cave National Park,Wind Cave,WICA,National Park,Midwest,SD,South Dakota,12579,0,0,1,43.57,-103.48,325178,113641,37596,110675
Yellowstone NP,Yellowstone National Park,Yellowstone,YELL,National Park,Intermountain,WY,Wyoming,24766,32,109,69,44.6,-110.5,2523292,917725,85271,415961
Yosemite NP,Yosemite National Park,Yosemite,YOSE,National Park,Pacific West,CA,California,120496,1352,2120,834,37.83,-119.5,1694986,1027895,404592,765669
Zion NP,Zion National Park,Zion,ZION,National Park,Intermountain,UT,Utah,68202,547,554,167,37.3,-113.05,1433355,1035671,339440,1077421
